tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
43.0338310185,804.333333333,12.8284241532,11.888622975,12.429036944,64689.3666667,798.866666667,65401.1
43.0546643519,802.133333333,13.1418844314,12.0719676054,12.6096444429,64689.4666667,798.433333333,65402.9
43.0754976852,800.666666667,13.1180044183,12.3779005525,12.6994533236,64690.0666667,797.166666667,65402.4666667
43.0963310185,799.866666667,13.047145488,12.4460603829,12.7773969233,64689.6333333,799.2,65401.8
43.1171643519,798.3,13.0859561936,12.3941847626,12.8279071798,64689.6333333,798.666666667,65403.2
43.1379976852,796.733333333,13.2012150221,12.3864849936,12.7602452252,64690.8666667,797.566666667,65402.4666667
43.1588310185,795.5,13.3079189687,12.3265757464,12.7983750497,64689.2142857,798.714285714,65402.1428571
43.1796990741,793.166666667,13.1806629834,12.3168845516,12.7565326196,64689.9666667,797.933333333,65402.5
43.2005324074,792.833333333,12.9681340947,12.3289716181,12.6320018878,64690.1333333,798.4,65402.0666667
43.2213657407,791.833333333,13.0073691968,12.1740652054,12.6061953466,64689.4,798.766666667,65402.2
43.2421990741,790.233333333,13.0965720604,12.1278320133,12.442938766,64690.2666667,797.9,65403.0
43.2630324074,788.2,12.7747283109,12.0712969786,12.4102493054,64690.1333333,798.1,65402.7666667
43.2838657407,786.733333333,13.0213824885,12.1710914454,12.550190826,64689.0,798.333333333,65403.7
43.3046990741,784.566666667,13.3129953917,12.098949696,12.808345123,64689.2333333,798.666666667,65402.7
43.3255324074,781.642857143,13.4061981184,12.5666851134,13.0170988072,64690.3928571,798.678571429,65402.7142857
43.346412037,779.8,13.4000368868,12.839203393,13.1963138534,64689.2666667,799.133333333,65403.5
43.3672453704,778.733333333,13.597601476,12.9086884339,13.1578115639,64688.9333333,798.733333333,65403.4333333
43.3880787037,777.733333333,13.6936554777,12.7997043607,13.2755915798,64689.0666667,798.966666667,65402.9333333
43.408912037,776.466666667,13.5816401921,12.7780033216,13.1919348157,64689.1,799.3,65403.3
43.4297453704,773.833333333,13.2915360502,12.6121658986,13.0297057486,64688.5,799.666666667,65403.4333333
43.4505787037,772.6,13.5762335982,12.6620473023,12.988152188,64688.8,800.2,65403.5333333
43.471412037,772.033333333,13.3814090741,12.4085624654,12.9400454149,64688.5666667,800.333333333,65402.5
43.4922453704,771.178571429,13.3838495575,12.4218778823,12.8620372203,64688.4642857,800.285714286,65403.0
43.513125,771.233333333,13.2124677241,12.4799778557,12.7392976227,64690.5,800.033333333,65402.3333333
43.5339583333,770.3,13.3738921713,12.459833795,12.8681893339,64688.2666667,800.733333333,65403.7666667
43.5547916667,769.7,13.0687107499,12.4165743817,12.8295944961,64689.2333333,800.866666667,65402.3
43.575625,771.633333333,13.450443787,12.3839203393,12.7978493525,64688.5666667,800.866666667,65403.5
43.5964583333,772.733333333,13.3512815785,12.3520191776,12.8969922422,64688.1666667,800.6,65402.9666667
43.6172916667,774.433333333,13.5212098857,12.384004433,12.7936297663,64688.3333333,800.4,65403.0666667
43.638125,776.366666667,13.5243902439,12.3425567239,12.8311916533,64687.6333333,800.666666667,65404.4666667
43.6589583333,778.107142857,13.3107709332,12.7715128063,13.0130271298,64687.8214286,800.75,65404.3571429
43.6798032407,779.5,13.3545236779,12.7147861357,13.0326361702,64688.8333333,800.1,65403.4333333
43.7006365741,783.133333333,13.5928110599,12.7904059041,13.1234693149,64688.2666667,799.966666667,65403.5666667
43.7214699074,786.033333333,13.625437788,12.850165868,13.1709128178,64687.9,799.666666667,65403.3666667
43.7423032407,788.866666667,13.5761931085,12.9485809067,13.2210986268,64688.3,800.366666667,65403.2666667
43.7631365741,791.966666667,13.5677966102,12.9646082949,13.2706183684,64688.5666667,800.7,65403.1666667
43.7839699074,792.966666667,13.5427413412,12.9375690608,13.2181621408,64689.0666667,799.833333333,65403.8666667
43.8048032407,795.8,13.540585312,12.8328726737,13.1708001318,64689.0333333,799.833333333,65403.1333333
43.8256365741,798.25,13.4471021159,12.9193072955,13.2039193272,64688.7142857,799.107142857,65401.9642857
43.8465046296,800.6,13.7084483711,12.817562592,13.3272127336,64689.2333333,798.266666667,65402.5666667
43.867337963,803.1,13.8511970534,12.8766568483,13.3016783834,64689.4666667,798.8,65402.8666667
43.8881712963,804.766666667,13.7934462445,12.9920883165,13.3447794861,64690.7333333,798.066666667,65402.3666667
43.9090046296,806.3,13.5781336278,12.7657342657,13.2523863499,64689.3666667,799.366666667,65402.3333333
43.929837963,806.433333333,13.5934450377,13.0244800294,13.3248321526,64691.6,797.4,65401.9
43.9506712963,807.366666667,13.6756856249,12.903885104,13.3380438358,64689.0,798.933333333,65403.1666667
43.9715046296,806.733333333,13.7887764489,12.9550727306,13.3418615613,64689.9666667,798.266666667,65402.0666667
43.992337963,807.285714286,13.4931910195,12.6157100809,13.0662296576,64689.1428571,798.107142857,65402.75
44.0131944444,806.566666667,13.4665930425,12.7158902596,13.0847717181,64689.3,798.233333333,65403.1666667
44.0340277778,806.6,13.3441928953,12.6700386242,13.0264131025,64690.1,798.1,65404.4333333
44.0548611111,806.1,13.2961941533,12.4160073597,12.9353412073,64689.3333333,798.7,65402.9
44.0756944444,805.066666667,13.4523546726,12.4048933039,12.897410762,64689.5,798.233333333,65403.9
44.0965277778,803.666666667,13.4553489229,12.675556373,12.9535674586,64690.0333333,798.533333333,65402.4333333
44.1173611111,803.0,13.5087396504,12.5679852806,12.900539301,64689.2,799.266666667,65402.4666667
44.1381944444,801.266666667,13.5218111541,12.4668995954,13.0479636551,64689.4,799.033333333,65402.5333333
44.1590277778,799.464285714,13.2550174922,12.468801767,12.9677381005,64689.75,797.857142857,65404.1071429
44.1799074074,797.566666667,13.4885735348,12.6475455047,13.0416282596,64689.3666667,799.566666667,65401.7333333
44.2007407407,796.133333333,13.4392041268,12.6782817109,12.9953508699,64688.7,799.733333333,65403.0666667
44.2215740741,793.633333333,13.3785924834,12.641252302,12.9896313888,64689.0333333,798.866666667,65403.4
44.2424074074,793.233333333,13.225640081,12.3711549088,12.8198431747,64689.5666667,798.8,65402.4666667
44.2632407407,792.4,13.0046074456,12.380759307,12.7096566717,64689.5333333,799.066666667,65402.4333333
