report_id,"report_filename_id",nest_id,param_id,days_active,report_number,"report_starttime","secs_per_rec","num_records","report_datetime"
456,"2014-08-06_AA0017_r-072-01",2,0,72,1,"2014-10-15 22:51:09","60","240","2014-10-16 02:51:12"
457,"2014-08-06_AA0017_r-062-06",2,0,62,6,"2014-10-06 18:48:55","60","240","2014-10-06 22:48:57"
458,"2014-07-20_AA0011_r-051-06",7,0,51,6,"2014-09-08 16:58:20","60","240","2014-09-08 20:58:23"
459,"2014-07-13_AA0008_r-071-01",6,0,71,1,"2014-09-20 20:23:44","60","240","2014-09-21 00:23:47"
460,"2014-08-27_AA0027_r-077-06",5,0,77,6,"2014-11-11 17:50:02","60","240","2014-11-11 21:50:05"
461,"2014-07-13_AA0008_r-063-06",6,0,63,6,"2014-09-13 16:16:02","60","240","2014-09-13 20:16:04"
462,"2014-08-06_AA0017_r-067-02",2,0,67,2,"2014-10-11 02:49:59","60","240","2014-10-11 06:50:01"
463,"2014-07-16_AA0010_r-052-01",14,0,52,1,"2014-09-04 20:19:47","60","240","2014-09-05 00:19:47"
464,"2014-07-20_AA0011_r-066-05",7,0,66,5,"2014-09-23 13:02:02","60","240","2014-09-23 17:02:03"
465,"2014-08-06_AA0017_r-058-03",2,0,58,3,"2014-10-02 06:47:48","60","240","2014-10-02 10:47:50"
466,"2014-08-27_AA0027_r-038-01",5,0,38,1,"2014-10-02 13:48:13","360","240","2014-10-03 13:47:22"
467,"2014-09-24_AA0012_r-051-04",12,0,51,4,"2014-11-13 10:10:45","60","240","2014-11-13 14:10:48"
468,"2014-08-12_AA0028_r-050-03",1,0,50,3,"2014-09-30 05:29:00","60","240","2014-09-30 09:29:05"
469,"2014-08-27_AA0027_r-043-01",5,0,43,1,"2014-10-07 21:50:45","60","240","2014-10-08 01:52:16"
470,"2014-07-20_AA0011_r-052-05",7,0,52,5,"2014-09-09 12:58:32","60","240","2014-09-09 16:58:34"
471,"2014-07-22_AA0024_r-058-06",13,0,58,6,"2014-09-17 19:12:47","60","240","2014-09-17 23:12:50"
472,"2014-09-24_AA0012_r-037-01",12,0,37,1,"2014-10-29 15:12:52","360","240","2014-10-30 15:11:57"
473,"2014-06-20_AA0013_r-070-06",8,0,70,6,"2014-08-28 18:37:39","60","240","2014-08-28 22:37:41"
474,"2014-07-13_AA0008_r-056-07",6,0,56,7,"2014-09-06 19:02:05","60","240","2014-09-06 23:02:08"
475,"2014-07-20_AA0011_r-067-04",7,0,67,4,"2014-09-24 09:02:13","60","240","2014-09-24 13:02:16"
476,"2014-08-06_AA0017_r-054-03",2,0,54,3,"2014-09-28 06:46:48","60","240","2014-09-28 10:46:50"
477,"2014-08-12_AA0028_r-073-04",1,0,73,4,"2014-10-23 09:42:56","60","240","2014-10-23 13:43:00"
478,"2014-07-20_AA0011_r-059-05",7,0,59,5,"2014-09-16 13:00:17","60","240","2014-09-16 17:00:19"
479,"2014-08-27_AA0027_r-053-06",5,0,53,6,"2014-10-18 18:28:19","60","240","2014-10-18 22:28:24"
480,"2014-08-06_AA0017_r-065-04",2,0,65,4,"2014-10-09 10:49:34","60","240","2014-10-09 14:49:37"
481,"2014-06-20_AA0013_r-101-05",8,0,101,5,"2014-09-28 12:31:38","60","240","2014-09-28 16:31:41"
482,"2014-07-13_AA0009_r-060-06",3,0,60,6,"2014-09-10 19:00:10","60","240","2014-09-10 23:00:13"
483,"2014-08-10_AA0025_r-050-02",10,0,50,2,"2014-09-28 12:42:21","60","240","2014-09-28 16:43:51"
484,"2014-08-27_AA0027_r-065-03",5,0,65,3,"2014-10-30 06:39:08","60","240","2014-10-30 10:39:09"
485,"2014-10-02_AA0007_r-010-01",15,0,10,1,"2014-10-10 09:45:34","360","240","2014-10-11 09:44:42"
486,"2014-07-16_AA0010_r-062-01",14,0,62,1,"2014-09-14 20:29:52","60","240","2014-09-15 00:29:55"
487,"2014-07-13_AA0008_r-079-05",6,0,79,5,"2014-09-29 12:26:00","60","240","2014-09-29 16:26:04"
488,"2014-07-13_AA0009_r-057-03",3,0,57,3,"2014-09-07 05:36:41","60","240","2014-09-07 09:36:44"
489,"2014-07-20_AA0011_r-049-04",7,0,49,4,"2014-09-06 08:57:45","60","240","2014-09-06 12:57:47"
490,"2014-06-20_AA0013_r-101-04",8,0,101,4,"2014-09-28 08:31:35","60","240","2014-09-28 12:31:38"
491,"2014-08-06_AA0017_r-055-03",2,0,55,3,"2014-09-29 06:47:03","60","240","2014-09-29 10:47:06"
492,"2014-08-21_AA0026_r-046-05",11,0,46,5,"2014-10-05 15:53:19","60","240","2014-10-05 19:53:23"
493,"2014-09-24_AA0012_r-050-01",12,0,50,1,"2014-11-11 22:10:22","60","240","2014-11-12 02:10:26"
494,"2014-07-13_AA0008_r-066-03",6,0,66,3,"2014-09-16 04:22:31","60","240","2014-09-16 08:22:34"
495,"2014-08-12_AA0028_r-061-03",1,0,61,3,"2014-10-11 05:32:03","60","240","2014-10-11 09:32:06"
496,"2014-07-16_AA0010_r-048-03",14,0,48,3,"2014-09-01 04:18:38","60","240","2014-09-01 08:18:43"
497,"2014-08-27_AA0027_r-030-01",5,0,30,1,"2014-09-24 13:54:01","60","240","2014-09-25 13:54:33"
498,"2014-08-27_AA0027_r-050-02",5,0,50,2,"2014-10-15 02:27:15","60","240","2014-10-15 06:27:18"
499,"2014-07-23_AA0012_r-051-03",9,0,51,3,"2014-09-11 07:54:01","60","240","2014-09-11 11:54:05"
500,"2014-08-21_AA0026_r-058-01",11,0,58,1,"2014-10-16 23:56:17","60","240","2014-10-17 03:56:19"
501,"2014-07-28_AA0014_r-071-06",4,0,71,6,"2014-10-06 19:40:10","60","240","2014-10-06 23:40:13"
502,"2014-07-23_AA0012_r-048-01",9,0,48,1,"2014-09-07 23:53:00","60","240","2014-09-08 03:53:03"
503,"2014-08-12_AA0028_r-073-03",1,0,73,3,"2014-10-23 05:42:52","60","240","2014-10-23 09:42:56"
504,"2014-07-22_AA0024_r-072-01",13,0,72,1,"2014-09-30 23:16:05","60","240","2014-10-01 03:16:08"
505,"2014-08-12_AA0028_r-058-05",1,0,58,5,"2014-10-08 13:31:17","60","240","2014-10-08 17:31:22"
506,"2014-08-12_AA0028_r-069-03",1,0,69,3,"2014-10-19 05:34:13","60","240","2014-10-19 09:34:18"
507,"2014-07-23_AA0012_r-043-04",9,0,43,4,"2014-09-03 11:51:37","60","240","2014-09-03 15:51:38"
508,"2014-07-20_AA0011_r-048-06",7,0,48,6,"2014-09-05 16:57:36","60","240","2014-09-05 20:57:38"
509,"2014-07-20_AA0011_r-027-01",7,0,27,1,"2014-08-11 16:13:23","360","0","2014-08-15 08:59:54"
510,"2014-07-16_AA0010_r-054-01",14,0,54,1,"2014-09-06 20:20:21","60","240","2014-09-07 00:20:26"
511,"2014-06-20_AA0013_r-057-02",8,0,57,2,"2014-08-15 10:34:55","360","240","2014-08-15 14:36:34"
512,"2014-07-28_AA0014_r-067-02",4,0,67,2,"2014-10-02 03:38:51","60","240","2014-10-02 07:38:53"
